- - - -  	- - - -  	2 5 - 12  	- 4 3 7
- 8 - - 	7 - - - 	3 16 - - 	6 - - -
3 - - - 	14 - 6 -  	- - 15 - 	- 5 - 9
- 7 11 5  	4 13 - - 	- - 1 14 	- - 10 -

2 13 1 8 	9 - - - 	14 - 6 - 	- - - -
10 3 4 - 	5 - 15 - 	- - 16 - 	- 11 6 2
- - 14 15 	1 6 - - 	7 - 2 3 	- 12 8 10
- - 16 6 	2 - - - 	11 15 - - 	- - - 14

13 - - - 	- - 14 15 	- - - 10 	4 8 - -
15 6 8 - 	10 5 - 16 	- - 12 1 	2 9 - -
7 11 5 - 	- 1 - - 	- 8 - 2 	- 10 12 3
- - - - 	- 9 - 8 	- - - 11 	1 13 15 5

- 16 - - 	12 3 - - 	- - 4 6 	10 2 11 -
5 - 6 - 	- 14 - - 	- 1 - 7 	- - - 4
- - - 1 	- - 11 9 	- - - 16 	- - 13 -
8 2 10 - 	16 - 5 7 	- - - - 	- - - -
